Area;Year;Month;Labor Force;Employed;Unemployed;Unemployment Rate                                                                                                                                                                      
Albany County;2022;1;156800;151300;5500;03. Mai
Albany County;2022;2;157200;151500;5700;03. Jun
Albany County;2022;3;157900;152700;5200;03. MŠr
Albany County;2022;4;158600;154200;4400;02. Aug
Albany County;2022;5;159100;154600;4500;02. Aug
Albany County;2022;6;160700;155600;5200;03. Feb
Albany County;2022;7;161200;155700;5400;03. Apr
Albany County;2022;8;160800;155300;5500;03. Apr
Albany County;2022;9;159300;154600;4600;02. Sep
Albany County;2022;10;158700;154400;4300;02. Jul
Albany County;2022;11;157600;153200;4400;02. Aug
Albany County;2022;12;156300;152000;4300;02. Aug
Albany County;2021;1;156700;147500;9200;05. Aug
Albany County;2021;2;157100;147600;9500;6.0
Albany County;2021;3;157400;148600;8800;05. Jun
Albany County;2021;4;157900;150300;7600;04. Aug
Albany County;2021;5;157800;150800;7000;04. Apr
Albany County;2021;6;158700;150900;7800;04. Sep
Albany County;2021;7;159500;152000;7500;04. Jul
Albany County;2021;8;158400;151500;7000;04. Apr
Albany County;2021;9;158200;152300;5900;03. Jul
Albany County;2021;10;158000;152700;5300;03. Apr
Albany County;2021;11;157700;152900;4800;3.0
Albany County;2021;12;155900;151700;4200;02. Jul
Albany County;2020;1;161300;155100;6200;03. Aug
Albany County;2020;2;161100;155000;6100;03. Aug
Albany County;2020;3;160800;153800;7000;04. Apr
Albany County;2020;4;156400;135200;21200;13. Jun
Albany County;2020;5;158700;141400;17300;10. Sep
Albany County;2020;6;160800;145900;15000;09. MŠr
Albany County;2020;7;161800;147700;14200;08. Aug
Albany County;2020;8;161200;150100;11100;06. Sep
Albany County;2020;9;159500;149500;10000;06. MŠr
Albany County;2020;10;158800;150600;8200;05. Jan
Albany County;2020;11;157900;150200;7800;04. Sep
Albany County;2020;12;156600;148400;8200;05. MŠr
Albany County;2019;1;159900;153700;6200;03. Sep
Albany County;2019;2;159400;153200;6100;03. Sep
Albany County;2019;3;160100;154300;5800;03. Jun
Albany County;2019;4;160200;155200;5000;03. Jan
Albany County;2019;5;160600;155600;5000;03. Jan
Albany County;2019;6;162100;156600;5500;03. Apr
Albany County;2019;7;163100;157000;6100;03. Aug
Albany County;2019;8;163000;157000;6100;03. Jul
Albany County;2019;9;162300;156900;5400;03. MŠr
Albany County;2019;10;162900;157400;5400;03. MŠr
Albany County;2019;11;161800;156500;5300;03. MŠr
Albany County;2019;12;160400;154900;5500;03. Apr
Albany County;2018;1;158700;151600;7100;04. Mai
Albany County;2018;2;158800;151500;7300;04. Jun
Albany County;2018;3;159800;153200;6500;04. Jan
Albany County;2018;4;160400;154600;5800;03. Jun
Albany County;2018;5;161200;156000;5300;03. MŠr
Albany County;2018;6;164000;157700;6300;03. Aug
Albany County;2018;7;163200;157000;6200;03. Aug
Albany County;2018;8;162000;156000;5900;03. Jul
Albany County;2018;9;161600;156300;5300;03. MŠr
Albany County;2018;10;162000;156800;5200;03. Feb
Albany County;2018;11;160800;155800;4900;03. Jan
Albany County;2018;12;159900;154500;5300;03. MŠr
Albany County;2017;1;159300;152100;7200;04. Mai
Albany County;2017;2;158900;151600;7400;04. Jun
Albany County;2017;3;160000;153600;6400;4.0
Albany County;2017;4;161200;154900;6300;03. Sep
